Título,Año,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Enlace
Viento de libertad,2018,Alemania,"6,3",1.281,Michael Herbig,"Friedrich Mücke, Karoline Schuch, Alicia von Rittberg, David Kross, Thomas Kretschmann, Jonas Holdenrieder, Ronald Kukulies, Emily Kusche",https://www.filmaffinity.com/es/film785827.html
Las herederas,2018,Paraguay,"6,3",1.400,Marcelo Martinessi,"Ana Brun, Margarita Irún, Ana Ivanova, Nilda González, María Martins, Alicia Guerra",https://www.filmaffinity.com/es/film410850.html
Tu mejor amigo: un nuevo viaje,2019,Estados Unidos,"6,3",1.502,Gail Mancuso,"Dennis Quaid, Marg Helgenberger, Betty Gilpin, Kathryn Prescott, Jake Manley, Henry Lau, Abby Ryder Fortson, Ian Chen",https://www.filmaffinity.com/es/film837388.html
Conociendo a Astrid,2018,Suecia,"6,3",1.535,Pernille Fischer Christensen,"Alba August, Trine Dyrholm, Björn Gustafsson, Magnus Krepper, Maria Bonnevie, Henrik Rafaelsen, Liv LeMoyne, Sofia Karemyr",https://www.filmaffinity.com/es/film640704.html
Queen & Slim,2019,Estados Unidos,"6,3",1.708,Melina Matsoukas,"Daniel Kaluuya, Jodie Turner-Smith, Chloë Sevigny, Bokeem Woodbine, Gralen Bryant Banks, Roger Petan, Kenneth Kynt Bryan, Sturgill Simpson",https://www.filmaffinity.com/es/film749239.html
Speak No Evil,2022,Dinamarca,"6,3",2.217,Christian Tafdrup,"Morten Burian, Sidsel Siem Koch, Fedja van Huêt, Karina Smulders, Liva Forsberg, Marius Damslev, Hichem Yacoubi, Lea Baastrup Rønne",https://www.filmaffinity.com/es/film634122.html
Hater,2020,Polonia,"6,3",4.322,Jan Komasa,"Maciej Musialowski, Vanessa Aleksander, Danuta Stenka, Jacek Koman, Agata Kulesza, Maciej Stuhr, Adam Gradowski, Piotr Biedron",https://www.filmaffinity.com/es/film261088.html
Una cuestión de género,2018,Estados Unidos,"6,3",4.555,Mimi Leder,"Felicity Jones, Armie Hammer, Kathy Bates, Sam Waterston, Justin Theroux, Jack Reynor, Stephen Root, Cailee Spaeny",https://www.filmaffinity.com/es/film216003.html
La excavación,2021,Reino Unido,"6,3",7.412,Simon Stone,"Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn, Ben Chaplin, Ken Stott, Monica Dolan, Arsher Ali",https://www.filmaffinity.com/es/film171889.html
Big Bad Wolves,2013,Israel,"6,3",8.135,"Aharon Keshales, Navot Papushado","Tzahi Grad, Lior Ashkenazi, Rotem Keinan, Nati Kluger, Doval'e Glickman, Menashe Noy, Dvir Benedek, Kais Nashif",https://www.filmaffinity.com/es/film511165.html
Nuestro último verano en Escocia,2014,Reino Unido,"6,3",8.688,"Andy Hamilton, Guy Jenkin","Rosamund Pike, David Tennant, Billy Connolly, Celia Imrie, Emilia Jones, Ben Miller, Amelia Bullmore, Bobby Smalldridge",https://www.filmaffinity.com/es/film321014.html
Indiana Jones y el dial del destino,2023,Estados Unidos,"6,3",13.327,James Mangold,"Harrison Ford, Mads Mikkelsen, Phoebe Waller-Bridge, Antonio Banderas, Karen Allen, Boyd Holbrook, Toby Jones, Shaunette Renée Wilson",https://www.filmaffinity.com/es/film989177.html
Juego de armas,2016,Estados Unidos,"6,3",13.615,Todd Phillips,"Jonah Hill, Miles Teller, Ana de Armas, Kevin Pollak, Bradley Cooper, JB Blanc, Shaun Toub, Patrick St. Esprit",https://www.filmaffinity.com/es/film914284.html
La bella y la bestia,2017,Estados Unidos,"6,3",25.566,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Kevin Kline, Emma Thompson, Ewan McGregor, Josh Gad, Ian McKellen",https://www.filmaffinity.com/es/film861877.html
Midsommar,2019,Estados Unidos,"6,3",27.798,Ari Aster,"Florence Pugh, Jack Reynor, Will Poulter, William Jackson Harper, Ellora Torchia, Archie Madekwe, Vilhelm Blomgren, Julia Ragnarsson",https://www.filmaffinity.com/es/film599419.html
Foxtrot,2017,Israel,"6,3",1.050,Samuel Maoz,"Lior Ashkenazi, Sarah Adler, Yonaton Shiray, Shira Haas, Irit Kaplan, Dekel Adin, Eden Gamliel, Karin Ugowski",https://www.filmaffinity.com/es/film111624.html
Clara y Claire,2019,Francia,"6,3",1.618,Safy Nebbou,"Juliette Binoche, Charles Berling, François Civil, Nicole García, Guillaume Gouix, Jules Houplain, Claude Perron, Marie-Ange Casta",https://www.filmaffinity.com/es/film476901.html
Missing,2023,Estados Unidos,"6,3",2.096,"Nicholas D. Johnson, Will Merrick","Storm Reid, Nia Long, Amy Landecker, Ken Leung, Thomas Barbusca, Lisa Yamada, Joaquim de Almeida, Tim Griffin",https://www.filmaffinity.com/es/film925874.html
El caso Fritz Bauer,2015,Alemania,"6,3",2.117,Lars Kraume,"Burghart Klaußner, Ronald Zehrfeld, Dani Levy, Sebastian Blomberg, Laura Tonke, Robert Atzorn, Michael Schenk, Matthias Weidenhöfer",https://www.filmaffinity.com/es/film809498.html
Suro,2022,España,"6,3",4.150,Mikel Gurrea,"Pol López, Vicky Luengo, Ilyass El Ouahdani, David Parcet, Josep Estragués, Vicente Botella, Nelson Caballero, Joan Carrillo, Fouad Lhaibi",https://www.filmaffinity.com/es/film103157.html
Competencia oficial,2021,España,"6,3",4.665,"Gastón Duprat, Mariano Cohn","Antonio Banderas, Penélope Cruz, Oscar Martínez, Irene Escolar, José Luis Gómez, Manolo Solo, Nagore Aranburu, Pilar Castro",https://www.filmaffinity.com/es/film744886.html
La estafa (Bad Education),2019,Estados Unidos,"6,3",4.941,Cory Finley,"Hugh Jackman, Allison Janney, Geraldine Viswanathan, Alex Wolff, Kathrine Narducci, Rafael Casal, Jimmy Tatro, Ray Romano",https://www.filmaffinity.com/es/film317026.html
Día de patriotas,2016,Estados Unidos,"6,3",6.907,Peter Berg,"Mark Wahlberg, John Goodman, Kevin Bacon, J.K. Simmons, Michelle Monaghan, Rachel Brosnahan, Alex Wolff, Melissa Benoist",https://www.filmaffinity.com/es/film475751.html
Día de lluvia en Nueva York,2019,Estados Unidos,"6,3",14.796,Woody Allen,"Timothée Chalamet, Elle Fanning, Selena Gomez, Jude Law, Diego Luna, Liev Schreiber, Annaleigh Ashford, Rebecca Hall",https://www.filmaffinity.com/es/film936907.html
Foxcatcher,2014,Estados Unidos,"6,3",15.865,Bennett Miller,"Channing Tatum, Steve Carell, Mark Ruffalo, Sienna Miller, Anthony Michael Hall, Vanessa Redgrave, Sherry Hudak-Weinhardt, Guy Boyd",https://www.filmaffinity.com/es/film423489.html
Black Mirror: Bandersnatch,2018,Reino Unido,"6,3",20.582,David Slade,"Fionn Whitehead, Will Poulter, Asim Chaudhry, Alice Lowe, Craig Parkinson, Catriona Knox, Tallulah Haddon, Laura Evelyn",https://www.filmaffinity.com/es/film479822.html
La gran estafa americana,2013,Estados Unidos,"6,3",47.484,David O. Russell,"Christian Bale, Amy Adams, Bradley Cooper, Jennifer Lawrence, Jeremy Renner, Louis C.K., Michael Peña, Jack Huston",https://www.filmaffinity.com/es/film896227.html
El Hobbit: La batalla de los cinco ejércitos,2014,Nueva Zelanda,"6,3",48.373,Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage, Luke Evans, Orlando Bloom, Aidan Turner, Evangeline Lilly, Lee Pace",https://www.filmaffinity.com/es/film583347.html
El Conde,2023,Chile,"6,3",1.123,Pablo Larraín,"Jaime Vadell, Gloria Münchmeyer, Alfredo Castro, Paula Luchsinger, Antonia Zegers, Amparo Noguera, Marcial Tagle, Diego Muñoz, Catalina Guerra",https://www.filmaffinity.com/es/film670314.html
La muerte de Superman,2018,Estados Unidos,"6,3",1.141,"Sam Liu, Jake Castorena",,https://www.filmaffinity.com/es/film100968.html
Ip Man 4: El final,2019,Hong Kong,"6,3",1.428,Wilson Yip,"Donnie Yen, Scott Adkins, Chan Kwok-Kwan, Vanness Wu, Nathan Head, Jim Liu, Kent Cheng, Mark Strange",https://www.filmaffinity.com/es/film999999.html
Alanis,2017,Argentina,"6,3",1.555,Anahí Berneri,"Sofía Gala Castiglione, Dante Della Paolera, Santiago Pedrero, Silvina Sabater, Julián Calviño, Dana Basso, Javier Van De Couter, Estela Garelli, Marina Cohen",https://www.filmaffinity.com/es/film838509.html
Testamento de juventud,2014,Reino Unido,"6,3",1.999,James Kent,"Alicia Vikander, Kit Harington, Emily Watson, Hayley Atwell, Dominic West, Colin Morgan, Miranda Richardson, Charlotte Hope",https://www.filmaffinity.com/es/film172523.html
Gantz:O,2016,Japón,"6,3",2.407,Yasushi Kawamura,,https://www.filmaffinity.com/es/film251225.html
La reconquista,2016,España,"6,3",2.802,Jonás Trueba,"Itsaso Arana, Francesco Carril, Aura Garrido, Candela Recio, Pablo Hoyos, Rafael Berrio",https://www.filmaffinity.com/es/film105900.html
Ellas hablan,2022,Estados Unidos,"6,3",2.872,Sarah Polley,"Rooney Mara, Claire Foy, Ben Whishaw, Jessie Buckley, Frances McDormand, Judith Ivey, Sheila McCarthy, Michelle McLeod",https://www.filmaffinity.com/es/film227602.html
"No te preocupes, no llegará lejos a pie",2018,Estados Unidos,"6,3",3.036,Gus Van Sant,"Joaquin Phoenix, Rooney Mara, Jonah Hill, Jack Black, Mark Webber, Peter Banifaz, Udo Kier, Nolan Gross",https://www.filmaffinity.com/es/film611232.html
